IdVenta,codigo
270552,"[664013, 491126, 672353, 691747, 672353, 715572, 653302, 692309, 720059, 491126, 660250, 673156, 491126]"
270553,"[2, 672594, 730394]"
270554,"[486985, 495739, 819854, 495739, 654801, 911693, 659590, 911693, 722195, 495739, 658318]"
270555,[672661]
270556,"[198997, 724653]"
270557,[818997]
270558,"[729566, 915132, 729566, 765644, 673161, 809558]"
270559,[754754]
270560,"[676510, 665193, 673150, 933416, 659075]"
270561,[819854]
270562,"[669473, 662018]"
270563,"[659590, 658183]"
270564,"[653298, 723798, 698665]"
270565,"[728875, 656481, 720284]"
270566,[317370]
270567,"[654832, 665193, 755587]"
270568,[672353]
270569,"[661408, 790527, 673156, 790527, 733336, 672661, 655871, 665193, 655871, 963348, 503425, 686580, 790527]"
270570,[239277]
270571,[862664]
270572,[736066]
270573,[724653]
270574,"[999868, 933416, 658395]"
270575,[933416]
270576,[723603]
270577,"[725101, 654804]"
270578,"[400120, 981373, 679426, 663941, 832840]"
270579,[661081]
270580,"[176298, 672661, 668830, 727300, 693352, 499715, 688746, 664013, 650828, 673156, 701512, 499715]"
270581,"[690144, 164328, 664013, 208484, 655290, 945667, 704544]"
270582,"[650545, 700698, 658244]"
270583,"[713729, 689660, 689660, 898254, 724206]"
270584,[951392]
270585,[729566]
270586,[176663]
270587,"[207544, 207544]"
270588,[176663]
270589,[167735]
270590,[656581]
270592,"[692585, 723798, 672353]"
270593,[38393]
270594,"[661084, 659505, 724007, 661337, 491126]"
270595,"[700588, 709176]"
270596,"[946582, 874776]"
270597,[686709]
270598,"[650100, 659590, 885186, 723798]"
270599,[191801]
270600,[704482]
270601,"[672353, 659590, 658244]"
270602,[694800]
270603,"[654804, 728657]"
270604,[193638]
270605,[138761]
270606,"[724007, 672343, 659590, 709154, 729566, 752717, 778019, 729566, 495739]"
270607,"[692477, 664012, 664012, 999725]"
270608,"[885178, 663656]"
270609,"[698095, 491126, 658244, 663656]"
270610,"[815241, 441253, 903815, 672353, 885178, 688712, 952036]"
270611,"[487165, 490680, 664012]"
270612,[464537]
270613,[122914]
270614,"[672353, 871988, 659590, 961763]"
270615,"[663728, 783241]"
270616,[722406]
270617,[819029]
